"Natural gas total consumption, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"70,836","73,932","81,928","86,495","91,867","98,516","100,220","118,444","126,662","144,258","156,149","161,144","176,402","174,146","172,099","140,033","147,576","133,039","135,562","171,929","160,244","175,289","157,990","145,628","158,991","150,838","152,541","168,552","172,901","193,426","175,672","178,223","184,915","181,899","186,242","194,154","196,049","211,985","188,563","196,363","212,147","178,376","196,276","197,024","194,725","202,509","182,294","201,053","196,069","196,510","212,019","193,986","208,947","197,357","207,102","215,006","219,023","222,673",,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,509,756,796,"1,107","1,299","1,458","1,536","1,639","1,617","1,930","2,034","1,999","2,115","2,162","2,268","2,326","2,691","2,424","2,450","2,531","2,472","2,641","3,197","3,918","4,549","4,971","5,265","5,119","5,196","5,546","5,790","6,412","5,716","6,572","44,779","95,733","121,540","70,832","86,136","61,673","64,035","63,183","70,145","70,334","77,575","71,691","68,267","64,091","60,663","52,778","53,128","43,813",,,,,,,,,,,,,,,,,,,,,,,,,
MI,"370,029","408,292","443,651","464,924","499,289","555,782","616,305","686,095","700,538","776,573","809,124","850,562","864,770","920,351","936,043","884,184","888,035","741,295","789,594","875,726","865,137","800,873","748,141","696,455","718,104","709,232","671,323","657,396","749,225","777,234","879,499","887,514","959,982","918,675","911,822","976,124","1,026,867","994,259","876,459","951,161","963,155","906,000","966,354","924,819","916,629","913,827","803,336","798,126","779,603","735,341","746,749","776,466","790,643","814,634","861,755","844,801","890,325","871,345",,,,,,,,,,,,,,,,,,,,,,,,,
MN,"179,827","192,584","214,130","219,047","236,976","248,741","264,488","283,086","311,898","325,687","342,322","351,442","351,408","360,811","351,644","331,186","320,156","293,381","313,229","334,202","285,846","266,282","262,039","240,777","255,638","257,480","244,773","239,991","283,840","299,886","290,665","314,476","308,821","327,982","323,822","353,099","368,388","354,066","330,518","344,596","362,031","340,911","371,583","371,261","359,898","367,825","352,570","388,335","425,351","394,134","422,968","420,770","422,263","467,873","474,520","431,315","449,783","451,696",,,,,,,,,,,,,,,,,,,,,,,,,
MO,"260,941","274,487","289,482","303,075","325,194","341,144","351,768","360,703","365,546","398,697","429,526","429,105","425,215","426,807","409,884","369,620","380,258","366,970","358,905","347,257","318,450","283,514","279,449","258,560","264,954","259,900","241,660","231,941","252,923","252,527","238,709","256,329","240,745","279,562","266,536","279,106","293,974","283,284","258,658","265,806","284,772","283,793","275,628","262,529","263,945","268,040","252,697","272,536","296,059","264,867","280,180","272,583","255,875","276,967","297,086","267,673","267,171","262,131",,,,,,,,,,,,,,,,,,,,,,,,,
MS,"181,521","184,146","192,648","218,138","242,056","243,563","278,376","282,160","311,891","326,165","360,382","378,321","377,986","313,992","276,199","230,053","199,122","197,689","203,719","254,366","263,530","242,987","269,131","237,859","268,560","226,663","214,824","208,582","212,779","225,625","253,554","249,761","239,442","230,020","257,714","287,892","269,387","255,522","241,343","306,734","300,653","332,590","343,890","265,842","282,050","301,664","307,305","364,068","355,007","364,323","438,733","433,538","494,018","420,594","427,585","521,355","544,464","526,883",,,,,,,,,,,,,,,,,,,,,,,,,
MT,"55,689","59,241","63,459","66,566","69,417","70,724","72,044","65,038","62,898","78,283","87,791","88,271","84,322","90,230","79,909","79,520","74,371","70,956","72,649","69,805","60,724","52,452","52,208","46,249","46,864","47,265","41,148","38,786","41,826","45,756","43,169","45,402","45,567","53,305","52,065","57,836","61,408","59,844","59,842","62,133","67,959","65,052","69,532","68,473","66,829","68,355","73,879","73,822","76,422","75,801","72,024","78,218","73,399","79,669","78,110","75,042","75,038","79,975",,,,,,,,,,,,,,,,,,,,,,,,,
NC,"45,442","50,523","56,373","62,296","68,533","75,745","86,753","97,981","114,809","136,651","151,227","160,567","163,897","160,871","140,217","114,822","101,175","72,527","81,989","130,884","153,316","152,496","142,129","136,579","143,853","133,825","135,819","148,653","151,990","161,818","161,574","167,459","180,759","186,020","188,520","205,237","214,388","215,655","214,095","217,162","233,717","207,108","235,376","218,642","224,796","229,715","223,032","237,354","243,091","247,047","304,148","307,803","363,945","440,176","452,781","498,575","522,001","501,837",,,,,,,,,,,,,,,,,,,,,,,,,
ND,"26,431","28,319","30,961","32,283","33,390","32,437","31,800","31,858","33,053","32,682","32,717","33,577","36,473","32,428","35,459","36,826","41,177","37,650","39,067","29,236","22,848","34,445","28,370","26,126","30,154","28,096","25,471","24,827","28,615","30,152","32,490","39,789","36,612","39,988","42,882","45,418","49,084","56,460","49,545","56,423","56,533","60,819","66,726","60,907","59,986","53,050","53,336","59,453","63,096","54,564","66,394","72,462","72,741","81,594","86,881","97,723","102,323","109,353",,,,,,,,,,,,,,,,,,,,,,,,,
NE,"135,681","139,677","144,274","147,095","162,167","166,215","196,651","188,661","203,345","210,033","222,335","223,674","224,562","229,632","222,807","218,834","198,634","188,804","163,051","170,013","163,079","138,322","138,238","129,290","134,466","126,135","104,732","109,378","121,980","120,236","111,063","115,808","106,871","126,134","126,759","136,419","132,911","132,405","130,732","121,490","126,965","121,984","120,333","118,922","115,010","119,070","129,885","150,809","171,005","163,474","168,944","171,777","158,757","173,377","172,837","161,189","163,362","166,244",,,,,,,,,,,,,,,,,,,,,,,,,
NH,"2,852","3,018","3,315","3,596","3,813","4,084","4,160","4,460","4,170","5,774","6,729","7,582","7,936","8,056","8,333","7,631","7,840","7,617","8,145","8,365","9,474","10,220","10,078","9,655","10,531","10,629","10,291","11,970","13,009","13,944","14,274","14,127","16,852","16,918","19,719","19,918","19,082","21,018","19,127","20,313","24,950","23,398","24,901","54,147","61,172","70,484","62,549","62,132","71,178","59,951","60,378","69,979","72,031","54,028","57,018","68,682","57,957","52,183",,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"139,258","153,806","174,210","188,249","200,109","209,757","227,271","251,482","268,495","304,835","322,853","326,768","321,288","301,566","275,050","244,102","321,535","247,120","228,843","260,579","339,825","390,121","375,660","405,387","418,220","379,230","353,466","421,399","414,279","470,926","446,443","497,297","624,395","643,952","687,256","696,965","700,502","716,938","679,635","715,651","605,298","564,923","598,602","612,890","620,806","602,388","547,206","618,965","614,908","620,789","654,458","660,743","652,060","682,246","773,221","745,789","762,958","706,576",,,,,,,,,,,,,,,,,,,,,,,,,
NM,"200,291","211,544","238,734","216,526","204,416","202,394","223,276","255,590","260,774","251,905","270,103","269,368","287,993","256,811","257,436","240,260","278,976","229,813","213,698","211,182","221,793","196,212","204,163","178,698","161,850","151,128","134,199","153,247","173,451","195,736","238,586","218,816","202,977","216,554","220,817","215,172","226,975","256,998","245,831","236,274","266,479","266,283","235,098","221,020","223,575","220,717","223,635","234,236","246,665","241,194","241,137","246,417","243,960","245,502","247,636","250,519","247,761","239,806",,,,,,,,,,,,,,,,,,,,,,,,,
NV,"12,447","15,864","17,528","19,292","23,928","27,679","34,218","35,035","37,029","44,140","52,558","66,511","69,522","73,072","63,438","61,251","66,797","71,052","64,506","84,433","58,454","73,182","46,627","41,926","42,256","39,200","33,790","41,333","48,225","63,667","64,876","66,061","78,782","84,653","101,401","108,908","122,484","131,935","148,565","154,721","189,207","176,835","176,595","185,846","214,984","227,148","249,608","254,406","264,596","275,468","259,252","249,971","273,501","272,964","253,290","300,002","304,181","294,897",,,,,,,,,,,,,,,,,,,,,,,,,
NY,"419,446","435,391","474,449","507,022","514,012","544,501","631,785","589,120","639,845","683,688","710,885","716,550","692,730","682,547","627,493","576,883","595,933","561,698","569,702","623,891","737,443","760,463","775,268","720,398","790,010","762,621","728,802","778,559","790,218","846,382","869,282","892,253","1,004,811","994,331","1,065,742","1,260,117","1,199,582","1,323,675","1,232,553","1,274,251","1,244,837","1,171,898","1,199,633","1,101,619","1,098,056","1,080,215","1,097,160","1,187,060","1,180,357","1,142,625","1,198,127","1,217,324","1,223,035","1,273,264","1,349,204","1,353,385","1,296,271","1,240,431",,,,,,,,,,,,,,,,,,,,,,,,,
OH,"700,313","721,214","758,097","798,973","825,420","880,340","944,667","962,821","987,841","1,031,963","1,052,933","1,087,126","1,147,804","1,104,156","1,086,651","956,876","1,005,927","847,497","929,593","898,029","896,983","870,341","813,519","747,268","785,297","733,116","716,778","714,929","805,308","814,123","746,720","765,640","810,158","833,921","841,690","890,121","933,104","897,842","811,414","842,003","891,003","804,244","830,959","848,388","825,753","825,961","742,360","806,350","792,246","740,925","784,293","823,546","842,959","912,403","1,002,346","966,493","928,492","948,753",,,,,,,,,,,,,,,,,,,,,,,,,
OK,"308,473","305,363","402,322","478,546","509,557","467,913","438,788","449,378","496,465","546,191","597,169","611,582","629,757","611,738","660,010","668,819","760,110","766,986","770,249","824,908","722,318","670,971","676,762","628,950","652,953","587,407","554,125","596,091","588,797","603,422","611,706","577,825","551,321","584,891","579,447","574,934","574,177","566,678","575,901","538,386","538,626","491,459","508,298","540,103","538,577","582,535","624,400","658,379","687,988","659,305","675,727","655,920","691,661","658,569","642,310","679,459","701,777","663,775",,,,,,,,,,,,,,,,,,,,,,,,,
OR,"30,861","33,827","37,865","43,350","53,984","56,065","65,093","69,877","79,226","87,854","95,284","100,897","110,360","107,961","98,051","109,898","92,500","72,521","86,140","93,707","78,703","75,562","70,824","67,045","78,642","83,002","70,972","80,250","87,163","108,029","109,215","124,181","122,865","136,740","147,049","146,263","180,972","185,251","229,407","235,013","224,893","229,665","202,164","212,556","234,997","232,562","222,608","251,927","268,484","248,864","239,324","199,419","215,830","240,418","220,089","234,635","235,911","247,415",,,,,,,,,,,,,,,,,,,,,,,,,
